ProgramYear,CECounty,ESC,TDARegion,SiteID,SiteName,SiteCounty,ClaimDate,EnrollmentQty,FreeEligibleQty,ReducedEligibleQty,PaidEligibleQty,BreakfastDays,BreakfastTotal,BreakfastADP,BreakfastServedFree,BreakfastServedReduced,BreakfastServedPaid,LunchDays,LunchTotal,LunchADP,LunchServedFree,LunchServedReduced,LunchServedPaid,SnackDays,SnackTotal,SnackADP,SnackServedFree,SnackServedReduced,SnackServedPaid,TotalMealsSnacks,BreakfastReimbursement,LunchReimbursement,SnackReimbursement,TotalReimbursement
2017-2018,HIDALGO,1,5,1,IDEA COLLEGE PREP,HIDALGO,08/01/2017,764,764,0,0,14,7532,538.0,7532,0,0,14,7947,567.64,7947,0,0,0,0,0.0,0,0,0,15479,15741.88,26304.57,0.0,42046.45
2017-2018,HIDALGO,1,5,1,IDEA COLLEGE PREP,HIDALGO,09/01/2017,762,762,0,0,23,10763,467.96,10763,0,0,23,10920,474.78,10920,0,0,10,544,54.4,544,0,0,22227,22494.67,36145.2,478.72,59118.59
2017-2018,HIDALGO,1,5,1,IDEA COLLEGE PREP,HIDALGO,10/01/2017,760,760,0,0,24,10992,458.0,10992,0,0,24,11292,470.5,11292,0,0,19,1268,66.74,1268,0,0,23552,22973.28,37376.52,1115.84,61465.64
2017-2018,HIDALGO,1,5,1,IDEA COLLEGE PREP,HIDALGO,11/01/2017,759,759,0,0,18,10503,583.5,10503,0,0,18,9279,515.5,9279,0,0,16,1137,71.06,1137,0,0,20919,21951.27,30713.49,1000.56,53665.32
2017-2018,HIDALGO,1,5,1,IDEA COLLEGE PREP,HIDALGO,12/01/2017,755,755,0,0,17,8568,504.0,8568,0,0,17,7340,431.76,7340,0,0,10,665,66.5,665,0,0,16573,17907.12,24295.4,585.2,42787.72
2017-2018,HIDALGO,1,5,1,IDEA COLLEGE PREP,HIDALGO,01/01/2018,752,752,0,0,18,9618,534.33,9618,0,0,18,8984,499.11,8984,0,0,11,305,27.73,305,0,0,18907,20101.62,29737.04,268.4,50107.06
2017-2018,HIDALGO,1,5,1,IDEA COLLEGE PREP,HIDALGO,02/01/2018,748,748,0,0,20,11272,563.6,11272,0,0,19,10503,552.79,10503,0,0,17,554,32.59,554,0,0,22329,23558.48,34764.93,487.52,58810.93
2017-2018,HIDALGO,1,5,1,IDEA COLLEGE PREP,HIDALGO,03/01/2018,746,746,0,0,15,10218,681.2,10218,0,0,16,9482,592.63,9482,0,0,15,546,36.4,546,0,0,20246,21355.62,31385.42,480.48,53221.52
2017-2018,HIDALGO,1,5,1,IDEA COLLEGE PREP,HIDALGO,04/01/2018,745,745,0,0,22,13652,620.55,13652,0,0,24,13130,547.08,13130,0,0,19,693,36.47,693,0,0,27475,28532.68,43460.3,609.84,72602.82
2017-2018,HIDALGO,1,5,1,IDEA COLLEGE PREP,HIDALGO,05/01/2018,742,742,0,0,23,13988,608.17,13988,0,0,23,13882,603.57,13882,0,0,17,425,25.0,425,0,0,28295,29234.92,45949.42,374.0,75558.34
2017-2018,HIDALGO,1,5,1,IDEA COLLEGE PREP,HIDALGO,06/01/2018,739,739,0,0,1,461,461.0,461,0,0,1,532,532.0,532,0,0,0,0,0.0,0,0,0,993,963.49,1760.92,0.0,2724.41
2017-2018,HIDALGO,1,5,2,IDEA QUEST COLLEGE PREPARATORY,HIDALGO,08/01/2017,759,587,0,172,14,9022,644.43,6983,0,2039,14,8792,628.0,6805,0,1987,0,0,0.0,0,0,0,17814,15206.17,23299.48,0.0,38505.65
2017-2018,HIDALGO,1,5,2,IDEA QUEST COLLEGE PREPARATORY,HIDALGO,09/01/2017,748,579,0,169,20,13089,654.45,10131,0,2958,20,12964,648.2,10034,0,2930,20,3933,196.65,3933,0,0,29986,22061.19,34355.24,3461.04,59877.47
2017-2018,HIDALGO,1,5,2,IDEA QUEST COLLEGE PREPARATORY,HIDALGO,10/01/2017,743,575,0,168,20,12623,631.15,9770,0,2853,20,12380,619.0,9582,0,2798,19,2342,123.26,2342,0,0,27345,21275.2,32807.64,2060.96,56143.8
2017-2018,HIDALGO,1,5,2,IDEA QUEST COLLEGE PREPARATORY,HIDALGO,11/01/2017,741,574,0,167,17,10410,612.35,8057,0,2353,17,10327,607.47,7993,0,2334,10,1110,111.0,1110,0,0,21847,17545.03,27367.09,976.8,45888.92
2017-2018,HIDALGO,1,5,2,IDEA QUEST COLLEGE PREPARATORY,HIDALGO,12/01/2017,733,567,0,166,14,9153,653.79,7084,0,2069,14,8964,640.29,6938,0,2026,10,985,98.5,985,0,0,19102,15426.26,23754.92,866.8,40047.98
2017-2018,HIDALGO,1,5,2,IDEA QUEST COLLEGE PREPARATORY,HIDALGO,01/01/2018,727,563,0,164,17,10180,598.82,7879,0,2301,17,10146,596.82,7853,0,2293,8,957,119.63,957,0,0,21283,17157.41,26887.7,842.16,44887.27
2017-2018,HIDALGO,1,5,2,IDEA QUEST COLLEGE PREPARATORY,HIDALGO,02/01/2018,724,560,0,164,18,11133,618.5,8617,0,2516,18,10527,584.83,8148,0,2379,18,2852,158.44,2852,0,0,24512,18764.33,27897.69,2509.76,49171.78
2017-2018,HIDALGO,1,5,2,IDEA QUEST COLLEGE PREPARATORY,HIDALGO,03/01/2018,723,560,0,163,16,9504,594.0,7356,0,2148,15,9246,616.4,7156,0,2090,14,2234,159.57,2234,0,0,20984,16018.44,24501.46,1965.92,42485.82
2017-2018,HIDALGO,1,5,2,IDEA QUEST COLLEGE PREPARATORY,HIDALGO,04/01/2018,722,559,0,163,22,13043,592.86,10095,0,2948,21,12823,610.62,9925,0,2898,21,4282,203.9,4282,0,0,30148,21982.95,33981.97,3768.16,59733.08
2017-2018,HIDALGO,1,5,2,IDEA QUEST COLLEGE PREPARATORY,HIDALGO,05/01/2018,722,559,0,163,23,13337,579.87,10323,0,3014,23,13912,604.87,10768,0,3144,10,1905,190.5,1905,0,0,29154,22479.27,36868.24,1676.4,61023.91
